InventoryNumber;Name;EquipmentType;Status;Location;SerialNumber;Manufacturer;Model;PurchaseDate;CommissioningDate;WarrantyEndDate;ResponsiblePerson;Notes
IMP-0001;Рабочая станция директора;Системный блок;В эксплуатации;Главный корпус, Кабинет 101;SN-WS-0001;Dell;OptiPlex 7010;15.01.2024;20.01.2024;20.01.2027;Смирнов А.А.;Основное рабочее место директора
IMP-0002;Ноутбук заместителя;Ноутбук;В эксплуатации;Главный корпус, Кабинет 203;SN-NB-0002;HP;ProBook 455;10.02.2024;12.02.2024;12.02.2027;Кузнецова Е.В.;Выдан для административной работы
IMP-0003;Монитор учительской;Монитор;В эксплуатации;Главный корпус, Кабинет 203;SN-MN-0003;Samsung;S24C310;05.03.2024;07.03.2024;07.03.2027;Иванов И.И.;Подключен к общему ПК
IMP-0004;Лазерный принтер бухгалтерии;Принтер;В ремонте;Главный корпус, Кабинет 101;SN-PR-0004;Canon;LBP223dw;12.11.2023;15.11.2023;15.11.2026;Петрова Н.С.;Проблемы с подачей бумаги
IMP-0005;МФУ приемной;МФУ;В эксплуатации;Главный корпус, Кабинет 101;SN-MFU-0005;Kyocera;M2040dn;01.09.2023;05.09.2023;05.09.2026;Соколова М.В.;Используется для сканирования документов
IMP-0006;Проектор актового зала;Проектор;В эксплуатации;Лабораторный корпус, Кабинет 305;SN-PJ-0006;Epson;EB-X06;14.08.2022;20.08.2022;20.08.2025;Морозов Д.Д.;Требуется чистка фильтра раз в квартал
IMP-0007;Интерактивная панель физики;Интерактивная панель;В эксплуатации;Лабораторный корпус, Кабинет 305;SN-IP-0007;Prestigio;MultiBoard 75;18.06.2024;22.06.2024;22.06.2027;Романова Л.И.;Новая поставка 2024 года
IMP-0008;Маршрутизатор серверной;Маршрутизатор;В эксплуатации;Лабораторный корпус, Серверная;SN-RT-0008;MikroTik;RB4011;11.01.2023;14.01.2023;14.01.2026;Сидоров П.П.;Обслуживает внутреннюю сеть корпуса
IMP-0009;Коммутатор ядра сети;Коммутатор;В эксплуатации;Лабораторный корпус, Серверная;SN-SW-0009;Cisco;CBS350;03.05.2023;10.05.2023;10.05.2026;Сидоров П.П.;Установлен в телекоммуникационной стойке
IMP-0010;Точка доступа этаж 2;Точка доступа;В эксплуатации;Главный корпус, Кабинет 203;SN-AP-0010;Ubiquiti;UAP-AC-LR;08.04.2024;12.04.2024;12.04.2027;Орлова Т.Т.;Покрытие Wi-Fi для второго этажа
IMP-0011;Ноутбук педагога информатики;Ноутбук;В эксплуатации;Лабораторный корпус, Кабинет 305;SN-NB-0011;Lenovo;ThinkBook 15;15.02.2024;19.02.2024;19.02.2027;Федоров А.В.;Используется для демонстраций
IMP-0012;Системный блок методиста;Системный блок;В резерве;Главный корпус, Кабинет 101;SN-WS-0012;Acer;Veriton M;09.10.2022;14.10.2022;14.10.2025;Захарова И.Г.;Подготовлен как резервный ПК
IMP-0013;Монитор резерва;Монитор;В резерве;Склад, IT-склад;SN-MN-0013;LG;24MP400;11.11.2024;15.11.2024;15.11.2027;Склад IT;Для быстрого замещения вышедших из строя мониторов
IMP-0014;Принтер склада;Принтер;На складе;Склад, IT-склад;SN-PR-0014;Brother;HL-L2370DN;21.03.2023;25.03.2023;25.03.2026;Склад IT;Не выдан в эксплуатацию
