InventoryNumber;Name;EquipmentType;Status;Location;SerialNumber;Manufacturer;Model;PurchaseDate;CommissioningDate;WarrantyEndDate;ResponsiblePerson;Notes
IMP-1001;Учительская рабочая станция истории;Системный блок;В эксплуатации;Главный корпус, Кабинет 203;SN-WS-1001;Dell;OptiPlex 7090;12.08.2024;15.08.2024;15.08.2027;Николаева Е.С.;ПК для подготовки презентаций
IMP-1002;Ноутбук классного руководителя 8А;Ноутбук;В эксплуатации;Главный корпус, Кабинет 203;SN-NB-1002;Lenovo;ThinkBook 15;03.09.2024;06.09.2024;06.09.2027;Волкова М.А.;Используется для электронного журнала
IMP-1003;Монитор кабинета математики;Монитор;В эксплуатации;Главный корпус, Кабинет 203;SN-MN-1003;LG;24MP400;18.09.2024;20.09.2024;20.09.2027;Федоров И.П.;Подключен к учительскому ПК
IMP-1004;Принтер методического кабинета;Принтер;В эксплуатации;Главный корпус, Кабинет 101;SN-PR-1004;HP;LaserJet Pro 4003;11.10.2024;14.10.2024;14.10.2027;Савельева Т.Н.;Печать рабочих материалов
IMP-1005;МФУ учебной части;МФУ;В эксплуатации;Главный корпус, Кабинет 101;SN-MFU-1005;Kyocera;MA2001w;05.11.2024;08.11.2024;08.11.2027;Орехова Н.В.;Сканирование заявлений и приказов
IMP-1006;Проектор кабинета химии;Проектор;В ремонте;Лабораторный корпус, Кабинет 305;SN-PJ-1006;Epson;EB-E20;14.02.2024;20.02.2024;20.02.2027;Кириллов А.Д.;Неисправность лампы проектора
IMP-1007;Интерактивная панель биологии;Интерактивная панель;В эксплуатации;Лабораторный корпус, Кабинет 305;SN-IP-1007;Prestigio;MultiBoard 86;22.05.2024;25.05.2024;25.05.2027;Семенова Л.В.;Используется для демонстраций на уроках
IMP-1008;Маршрутизатор главного корпуса;Маршрутизатор;В эксплуатации;Лабораторный корпус, Серверная;SN-RT-1008;MikroTik;RB4011iGS;17.03.2024;21.03.2024;21.03.2027;Сидоров П.П.;Основной маршрутизатор школьной сети
IMP-1009;Маршрутизатор кабинета информатики;Маршрутизатор;В эксплуатации;Лабораторный корпус, Серверная;SN-RT-1009;TP-Link;ER7206;07.04.2024;10.04.2024;10.04.2027;Сидоров П.П.;Сетевое оборудование для компьютерного класса
IMP-1010;Системный блок резервного копирования;Системный блок;В эксплуатации;Лабораторный корпус, Серверная;SN-WS-1010;Dell;OptiPlex 7010;15.01.2025;20.01.2025;20.01.2028;Сидоров П.П.;Выделен под локальное резервное копирование и архив
IMP-1011;Резервный маршрутизатор для мобильного класса;Маршрутизатор;В резерве;Склад, IT-склад;SN-RT-1011;MikroTik;hAP ax2;12.12.2024;15.12.2024;15.12.2027;Техслужба;Запасное сетевое оборудование для временных учебных зон
IMP-1012;Резервный ноутбук администрации;Ноутбук;На складе;Склад, IT-склад;SN-NB-1012;ASUS;ExpertBook B1502;09.01.2025;13.01.2025;13.01.2028;Техслужба;Подготовлен как подменное устройство
